日期,開盤,最高,最低,收盤,漲跌,成交股數,外資,投信,自營,法人合計,融資餘額,融券餘額,券資比%,本益比,='儀表板'!$A$4&'儀表板'!$A$3,='儀表板'!$A$5&'儀表板'!$A$3,='儀表板'!$A$6&'儀表板'!$A$3,='儀表板'!$A$7&'儀表板'!$A$3,='儀表板'!$A$8&'儀表板'!$A$3,='儀表板'!$A$9&'儀表板'!$A$3,='儀表板'!$B$4&'儀表板'!$B$3,='儀表板'!$B$5&'儀表板'!$B$3,='儀表板'!$B$6&'儀表板'!$B$3
2026/05/14,255.0,255.0,244.0,244.5,-6.5,73360.0,-21537.0,-785.0,-1142.0,-23464.0,48647,830,1.7061689312804489,18.03,"=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G2)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D2:$G2) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G2, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G2)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/13,246.5,251.0,242.5,251.0,1.0,72415.0,21568.0,-4065.0,-153.0,17350.0,46389,978,2.108258423333118,18.51,"=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G3)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D3:$G3) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G3, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G3)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/12,254.0,254.0,246.0,250.0,-2.0,84325.0,31682.0,-10780.0,113.0,21015.0,46231,1008,2.1803551729359087,18.44,"=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G4)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D4:$G4) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G4, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G4)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/11,256.5,258.0,251.0,252.0,2.0,63064.0,9407.0,113.0,-321.0,9199.0,47208,1026,2.1733604473817993,18.58,"=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G5)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D5:$G5) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G5, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G5)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/08,254.0,256.0,245.5,250.0,-3.5,102375.0,30089.0,342.0,-1500.0,28931.0,47941,981,2.0462652009761997,18.44,"=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G6)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D6:$G6) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G6, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G6)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/07,255.0,258.0,250.0,253.5,1.5,128768.0,21953.0,1698.0,145.0,23796.0,51811,1049,2.024666576595704,18.69,"=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G7)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D7:$G7) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G7, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G7)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/06,246.5,253.0,245.0,252.0,12.5,240330.0,100891.0,1761.0,1351.0,104003.0,54330,1098,2.0209828823854226,18.58,"=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G8)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D8:$G8) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G8, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G8)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/05,227.5,240.0,227.0,239.5,12.0,162874.0,82619.0,3852.0,3133.0,89604.0,57733,888,1.538115116138084,17.66,"=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G9)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D9:$G9) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G9, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G9)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/05/04,224.0,229.5,223.5,227.5,8.0,57506.0,27360.0,310.0,971.0,28641.0,54537,653,1.1973522562663879,16.78,"=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G10)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D10:$G10) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G10, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G10)), COUNT(range) < N), ""-"", AVERAGE(range))))"
2026/04/30,224.50,230.00,219.50,219.50,-5.50,"73,684","2,787",-131,"-1,769",887,"56,342",489,0.87,16.19,"=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$4, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$5, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$6, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$7, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$8, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$A$9, range, OFFSET($E11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($E11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$B$4, range, OFFSET($G11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$B$5, range, OFFSET($G11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G11)), COUNT(range) < N), ""-"", AVERAGE(range))))","=IF(COUNTA($D11:$G11) = 0, """", LET(N, '儀表板'!$B$6, range, OFFSET($G11, 0, 0, N, 1), IF(OR(NOT(ISNUMBER($G11)), COUNT(range) < N), ""-"", AVERAGE(range))))"
