報表製作日:,6月22日,,,,,,,,,,,,,,,,營業,?代表尚未建立出貨通知,,,,生產
PJ號碼,客戶,工事名稱 / EFEM TYPE,業種,機械出圖日,制御出圖日,機械集合日,"Harness、制御盤
集合日","Robot
X番號","Robot
予入日","Load port
仕樣","Load port
予入日","Alinger
仕樣","Alinger
予入日","製造
組立完成日",制御測試完成日,梱包日,"Customer
Target(M/I Date)",M/I Time,設計擔當,制御擔當,營業擔當,"M/I
完成"
55-02157,晶彩,KWE300-2P-FO-AL for FAVITE,新規,2026/3/31,2026/3/25,2026/7/1,2026/7/1,X413,2026/6/18,L325,2026/6/2,A003,2026/7/1,2026/7/31,2026/8/2,2026/8/3,2026/7/15,?,Amos,Hardy,Joyce,
55-02300,PTI,510*515 2P Panel EFEM for 佳宸,新規,2026/5/21,2026/6/21,2026/7/8,2026/7/22,SP006,2026/6/24,FL002,2026/6/30,N/A,N/A,2026/8/5,,,2026/8/7,?,Roy,Dar,Eason,
55-01867,S1,"KWS300-TS003, 4LP Sorter",新規,H01523-ST-W-01A,H01523-ST-W-01A,2026/4/15,2026/4/23,X564,,L723,,A099,,,,,2026/6/30,?,David,Hardy,Jeffrey,
55-01803,CMIT 政美,Load Port KWF-12F3-8M-RFID-QUARTZ1-INFO1_10sets,Componets,2026/3/16,2026/3/17,2026/5/20,2026/5/20,N/A,N/A,L705,2026/6/24,N/A,N/A,,,,,,,,,
55-02467,GPM,台中GPM KWE300-2P-FO-AL for AOI 檢查機,新規,2026/6/30,2026/6/18,2026/8/15,2026/8/15,,,,,,,2026/8/28,,2026/8/29,2026/8/30,,,,,
55-02308-01,HCJ,300X EFEM LOT 54,新規,2026/5/30,N/A,2026/8/10,N/A,,,,,,,,,,,,,,,
