分類,項目,26M04,26M03,26M02,26M01,25M12,25M11,25M10,25M09,25M08,25M07,25M06,25M05,25M04,25M03,25M02,25M01,24M12,24M11,24M10,24M09,24M08,24M07,24M06,24M05,24M04,24M03,24M02,24M01,23M12,23M11,23M10,23M09,23M08,23M07,23M06,23M05,23M04,23M03,23M02,23M01,22M12
月營收,營收（億）,-,-,115.1,130.3,123.5,122.6,113.5,116.8,107.6,106.5,110.6,102.1,115,111,97.53,102.5,95.2,100.2,104.7,104.2,103.2,110.1,100,107.1,107,100.2,84.61,100.2,89.48,93.5,90.62,94.61,90.1,88.88,87.73,90.07,90.1,90.06,85.88,85.03,90.01
月營收,月增 %,-,-,-11.7,5.49,0.7,8.03,-2.81,8.56,1.05,-3.7,8.27,-11.2,3.62,13.8,-4.84,7.66,-4.99,-4.25,0.48,0.94,-6.24,10,-6.61,0.08,6.78,18.5,-15.6,12,-4.29,3.18,-4.21,5,1.36,1.31,-2.59,-0.02,0.04,4.86,0.99,-5.52,-10
月營收,年增 %,-,-,18,27.1,29.7,22.4,8.47,12.2,4.27,-3.25,10.5,-4.67,7.47,10.8,15.3,2.28,6.38,7.16,15.5,10.1,14.5,23.8,14,18.9,18.8,11.3,-1.48,17.8,-0.57,-6.52,-7.58,-7.07,-11.4,-14.6,-17.9,-14.5,-11.2,-15.2,-7.13,-17.1,9.48
本益比,目前本益比,21.37,21.16,25.89,24.11,20.07,21.33,23.66,16.95,7.12,18.19,12.53,12.57,11.69,12.17,14.49,13.91,14.19,13.23,14.1,15.46,15.47,17.74,15.59,14.56,14.17,13.82,13.16,13.13,14.32,14.57,12.89,13.01,11.66,10.73,11.15,11.08,10.41,10.71,11.28,11.75,10.2
